"type","avg_min_1_diff","avg_min_2_diff","avg_min_3_diff","avg_min_4_diff","avg_min_5_diff","avg_min_6_diff","avg_min_7_diff","avg_min_8_diff","avg_min_9_diff","avg_min_10_diff","avg_min_11_diff","avg_min_12_diff","avg_min_13_diff","avg_min_14_diff","avg_min_15_diff","avg_min_16_diff","avg_min_17_diff","avg_min_18_diff","avg_min_19_diff","avg_min_20_diff","avg_min_21_diff","avg_min_22_diff","avg_min_23_diff","avg_min_24_diff","avg_min_25_diff","avg_min_26_diff","avg_min_27_diff","avg_min_28_diff","avg_min_29_diff","avg_min_30_diff","avg_min_31_diff","avg_min_32_diff","avg_min_33_diff","avg_min_34_diff","avg_min_35_diff","avg_min_36_diff"
"goldredADC","495","496","542","863","1210","1551","1874","2213","2556","2889","3249","3619","3973","4356","4743","5128","5525","5927","6317","6715","7124","7516","7930","8351","8773","9202","9632","10065","10498","10925","11356","11793","12231","12650","13075","13498"
"goldblueADC","495","497","543","863","1209","1555","1879","2221","2569","2905","3271","3646","4007","4397","4796","5188","5594","6007","6407","6811","7223","7623","8040","8470","8893","9323","9755","10178","10601","11025","11440","11855","12272","12703","13108","13533"
"goldredMiddle","495","495","561","869","1207","1543","1867","2208","2575","2940","3314","3700","4072","4446","4848","5249","5648","6062","6457","6851","7266","7659","8072","8488","8900","9316","9727","10144","10560","10968","11376","11791","12203","12603","13015","13402"
"goldblueMiddle","495","496","562","871","1207","1545","1868","2207","2573","2944","3316","3703","4078","4457","4865","5272","5675","6093","6497","6897","7314","7715","8132","8553","8966","9380","9804","10218","10621","11017","11412","11806","12205","12616","13000","13397"
"goldredJungle","495","496","583","924","1257","1551","1839","2126","2430","2742","3054","3361","3667","3990","4329","4673","5011","5341","5665","5998","6333","6660","6987","7313","7636","7964","8288","8613","8937","9259","9577","9904","10226","10534","10843","11147"
"goldblueJungle","495","496","584","930","1267","1564","1855","2147","2450","2765","3084","3400","3714","4042","4384","4732","5077","5415","5752","6092","6433","6770","7104","7438","7775","8105","8435","8759","9073","9392","9707","10014","10319","10649","10958","11262"
"goldredTop","495","496","517","790","1126","1438","1748","2073","2398","2716","3058","3402","3740","4104","4474","4834","5215","5595","5963","6346","6729","7102","7495","7892","8286","8681","9068","9463","9857","10250","10626","11018","11400","11764","12129","12493"
"goldblueTop","495","496","519","793","1131","1445","1758","2088","2414","2736","3084","3435","3777","4147","4519","4885","5271","5657","6031","6417","6805","7179","7573","7976","8376","8775","9172","9564","9945","10326","10713","11085","11454","11838","12195","12563"
"goldredSupport","503","505","532","713","913","1102","1289","1479","1670","1860","2061","2268","2473","2712","2954","3196","3448","3702","3953","4209","4467","4720","4986","5256","5525","5796","6064","6334","6608","6877","7145","7419","7685","7944","8206","8463"
"goldblueSupport","503","505","532","714","914","1104","1291","1481","1673","1866","2068","2278","2488","2734","2981","3229","3487","3748","4009","4271","4531","4793","5061","5337","5613","5888","6163","6431","6699","6970","7233","7493","7750","8027","8280","8546"
